date,fund_name,fund,benchmark
2020-01-31,Fund_A,0.021,0.015
2020-02-29,Fund_A,-0.024,-0.025
2020-03-31,Fund_A,-0.060,-0.080
2020-04-30,Fund_A,0.048,0.035
2020-05-31,Fund_A,0.019,0.012
2020-06-30,Fund_A,0.011,0.008
2020-07-31,Fund_A,0.020,0.017
2020-08-31,Fund_A,0.013,0.011
2020-09-30,Fund_A,-0.010,-0.015
2020-10-31,Fund_A,0.010,0.007
2020-11-30,Fund_A,0.028,0.025
2020-12-31,Fund_A,0.015,0.013

2020-01-31,Fund_B,0.017,0.015
2020-02-29,Fund_B,-0.026,-0.025
2020-03-31,Fund_B,-0.070,-0.080
2020-04-30,Fund_B,0.040,0.035
2020-05-31,Fund_B,0.014,0.012
2020-06-30,Fund_B,0.008,0.008
2020-07-31,Fund_B,0.018,0.017
2020-08-31,Fund_B,0.011,0.011
2020-09-30,Fund_B,-0.013,-0.015
2020-10-31,Fund_B,0.008,0.007
2020-11-30,Fund_B,0.025,0.025
2020-12-31,Fund_B,0.012,0.013

2020-01-31,Fund_C,0.011,0.015
2020-02-29,Fund_C,-0.035,-0.025
2020-03-31,Fund_C,-0.082,-0.080
2020-04-30,Fund_C,0.028,0.035
2020-05-31,Fund_C,0.008,0.012
2020-06-30,Fund_C,0.003,0.008
2020-07-31,Fund_C,0.010,0.017
2020-08-31,Fund_C,0.006,0.011
2020-09-30,Fund_C,-0.018,-0.015
2020-10-31,Fund_C,0.004,0.007
2020-11-30,Fund_C,0.017,0.025
2020-12-31,Fund_C,0.006,0.013

2020-01-31,Fund_D,0.026,0.015
2020-02-29,Fund_D,-0.030,-0.025
2020-03-31,Fund_D,-0.090,-0.080
2020-04-30,Fund_D,0.060,0.035
2020-05-31,Fund_D,0.024,0.012
2020-06-30,Fund_D,0.014,0.008
2020-07-31,Fund_D,0.024,0.017
2020-08-31,Fund_D,0.016,0.011
2020-09-30,Fund_D,-0.015,-0.015
2020-10-31,Fund_D,0.012,0.007
2020-11-30,Fund_D,0.032,0.025
2020-12-31,Fund_D,0.018,0.013

2020-01-31,Fund_E,0.014,0.015
2020-02-29,Fund_E,-0.024,-0.025
2020-03-31,Fund_E,-0.078,-0.080
2020-04-30,Fund_E,0.034,0.035
2020-05-31,Fund_E,0.011,0.012
2020-06-30,Fund_E,0.007,0.008
2020-07-31,Fund_E,0.016,0.017
2020-08-31,Fund_E,0.010,0.011
2020-09-30,Fund_E,-0.014,-0.015
2020-10-31,Fund_E,0.006,0.007
2020-11-30,Fund_E,0.024,0.025
2020-12-31,Fund_E,0.012,0.013

2020-01-31,Fund_F,0.009,0.015
2020-02-29,Fund_F,-0.040,-0.025
2020-03-31,Fund_F,-0.095,-0.080
2020-04-30,Fund_F,0.025,0.035
2020-05-31,Fund_F,0.006,0.012
2020-06-30,Fund_F,0.002,0.008
2020-07-31,Fund_F,0.008,0.017
2020-08-31,Fund_F,0.004,0.011
2020-09-30,Fund_F,-0.020,-0.015
2020-10-31,Fund_F,0.003,0.007
2020-11-30,Fund_F,0.015,0.025
2020-12-31,Fund_F,0.004,0.013